Tanggal,Jam,Tanggal Jam,Meninggal,Sembuh,Self Isolation,Masih Perawatan,Total Pasien,Positif Harian,Positif Aktif,Sembuh Harian,Tanpa Gejala,Bergejala,Belum Ada Data
5/1/2021,,,6747,395644,3533,3622,409546,926,7155,705,1039,4940,1176
5/2/2021,,,6767,396594,3450,3589,410400,854,7039,950,842,4574,1623
5/3/2021,,,6788,397349,3483,3537,411157,757,7020,755,1349,5473,198
5/4/2021,,,6807,397955,3247,3564,411573,416,6811,606,1182,5158,471
5/5/2021,,,6830,398610,3240,3738,412418,845,6978,655,1102,4909,967
5/6/2021,,,6850,399224,3406,3843,413323,905,7249,614,1172,5489,588
5/7/2021,,,6872,399821,3485,3928,414106,783,7413,597,1131,5192,1090
5/8/2021,,,6896,400403,3569,3970,414838,732,7539,582,947,5022,1570
5/9/2021,,,6911,401114,3648,3974,415647,809,7622,711,836,4763,2023
5/10/2021,,,6933,401744,3723,3941,416341,694,7664,630,1482,5810,372
5/11/2021,,,6952,402374,3490,3931,416747,406,7421,630,1340,5531,550
5/12/2021,,,6973,403039,3402,3989,417403,656,7391,665,1176,5298,917
5/13/2021,,,6973,403630,3630,3955,418188,785,7585,591,1087,5013,1485
5/14/2021,,,7003,404187,3502,4128,418820,632,7630,557,1294,5929,407
5/15/2021,,,7066,404715,3288,3978,419047,227,7266,528,6055,637,574
5/16/2021,,,7082,404980,3189,3957,419208,161,7146,265,1145,5333,668
5/17/2021,,,7107,405229,3158,4135,419629,421,7293,249,1235,5834,224
5/18/2021,,,7130,405357,3248,4185,419920,291,7433,128,1219,5793,421
5/19/2021,,,7149,405535,3366,4409,420459,539,7775,178,1195,5818,762
5/20/2021,,,7169,405714,3797,4674,421354,895,8471,179,1312,6599,560
5/21/2021,,,7184,405918,4142,4966,422210,856,9108,204,1306,6655,1147
5/22/2021,,,7196,406300,4386,5260,423142,932,9646,382,1556,7514,576
5/23/2021,,,7207,406669,4744,5389,424009,867,10133,369,1479,7469,1185
5/24/2021,,,7225,406987,5079,5537,424828,819,10616,318,1837,8217,562
5/25/2021,,,7239,407493,5017,5463,425212,384,10480,506,1737,7878,865
5/26/2021,,,7250,408019,4993,5567,425829,617,10560,526,1619,7619,1322
5/27/2021,,,7271,408585,5280,5633,426769,940,10913,566,1937,8364,612
5/28/2021,,,7288,409497,5161,5516,427462,693,10677,912,1658,7859,1160
5/29/2021,,,7296,410508,5004,5461,428269,807,10465,1011,1557,7184,1724
5/30/2021,,,7309,411495,5100,5429,429333,1064,10529,987,1375,6661,2493
5/31/2021,,,7327,412074,5241,5417,430059,726,10658,579,2117,8023,518
6/1/2021,,,7349,412593,5214,5422,430578,519,10636,519,1996,7706,934
6/2/2021,,,7361,413179,5178,5461,431179,601,10639,586,1951,7330,1358
6/3/2021,,,7381,413680,5402,5430,431893,714,10832,501,1811,7116,1905
6/4/2021,,,7402,414496,5414,5487,432799,906,10901,816,2618,7650,633
6/5/2021,,,7423,415317,5756,5620,434116,1317,11376,821,2404,7279,1693
6/6/2021,,,7438,416181,5966,5550,435135,1019,11516,864,1901,7135,2480
6/7/2021,,,7457,416994,6261,5620,436332,1197,11881,813,2412,8576,893
6/8/2021,,,7478,417997,6057,5555,437087,755,11612,1003,2186,7949,1477
6/9/2021,,,7499,419109,6120,5730,438458,1371,11850,1112,1992,7270,2588
6/10/2021,,,7523,420211,6991,5829,440554,2096,12820,1102,1789,6881,4150
6/11/2021,,,7543,421396,7750,6158,442847,2293,13908,1185,1456,6442,6010
6/12/2021,,,7557,422121,8855,6769,445302,2455,15624,725,1289,6395,7940
6/13/2021,,,7571,423056,10034,7410,448071,2769,17444,935,1117,6352,9975
6/14/2021,,,7609,424088,11240,7856,450793,2722,19096,1032,4032,13945,1119
6/15/2021,,,7634,425417,11102,8142,452295,1502,19244,1329,3746,13108,2390
6/16/2021,,,7665,426695,11555,8756,454671,2376,20311,1278,3458,12419,4434
6/17/2021,,,7713,428764,13054,9284,458815,4144,22338,2069,2882,11788,7668
6/18/2021,,,7777,431264,14951,9560,463552,4737,24511,2500,2531,10655,11325
6/19/2021,,,7836,433499,16787,10325,468447,4895,27112,2235,1840,9740,15532
6/20/2021,,,7905,435982,19105,11037,474029,5582,30142,2483,1325,8734,20083
6/21/2021,,,7976,439007,20717,11343,479043,5014,32060,3025,8039,19670,4351
6/22/2021,,,8014,442059,21167,11024,482264,3221,32191,3052,6351,16241,9599
6/23/2021,,,8057,443195,22868,12837,486957,4693,35705,1136,6163,15906,13636
6/24/2021,,,8107,445718,26403,14234,494462,7505,40637,2523,5567,15624,19446
6/25/2021,,,8177,448288,29325,15606,501396,6934,44931,2570,5170,14668,25093
6/26/2021,,,8220,451013,33829,17605,510667,9271,51434,2725,4381,14547,32506
6/27/2021,,,8269,454497,38464,18831,520061,9394,57295,3484,3484,13789,40022
6/28/2021,,,8348,457935,42252,19874,528409,8348,62126,3438,17144,29461,15521
6/29/2021,,,8426,461439,45504,20419,535788,7379,65923,3504,15706,28925,21292
6/30/2021,,,8486,464943,47829,22210,543468,7680,70039,3504,14940,27514,27585
7/1/2021,,,8528,468461,49836,24184,551009,7541,74020,3518,13902,26151,33967
7/2/2021,,,8547,473467,53014,25380,560408,9399,78394,5006,12103,25076,41215
7/3/2021,,,8577,479150,54941,27442,570110,9702,82383,5683,11310,21941,49132
7/4/2021,,,8652,484949,59307,27687,580595,10485,86994,5799,8799,20101,58094
7/5/2021,,,8779,491556,62873,28290,591498,10903,91163,6607,7598,20096,63469
7/6/2021,,,8861,497492,65448,29136,600937,9439,94584,5936,18451,60476,15657
7/7/2021,,,9042,501199,69644,30418,610303,9366,100062,3707,18376,57521,24165
7/8/2021,,,9110,512085,72361,29721,623277,12974,102082,10886,14748,50824,36510
7/9/2021,,,9306,526941,73239,26903,636389,13112,100142,14856,10095,40727,49320
7/10/2021,,,9357,543867,71812,24273,649309,12920,96085,16926,7999,26379,61707
7/11/2021,,,9395,564437,68251,20359,662442,13133,88610,20570,4769,12893,70948
7/12/2021,,,9462,584912,66581,16106,677061,14619,82687,20475,17649,25597,39441
7/13/2021,,,9541,589486,71848,18368,689243,12182,90216,4574,16957,22339,50920
7/14/2021,,,9603,592556,78571,21180,701910,12667,99751,3070,32752,54463,12536
7/15/2021,,,9743,595582,86298,22978,714601,12691,109276,3026,31922,52360,24994
7/16/2021,,,9845,604033,88295,24843,727016,12415,113138,8451,28216,48144,36778
7/17/2021,,,9902,615640,87929,23713,737184,10168,111642,11607,23349,41735,46558
7/18/2021,,,10103,627481,86457,22271,746312,9128,108728,11841,20890,33459,54379
7/19/2021,,,10345,640171,81275,19521,751312,5000,100796,12690,35311,51962,13523
7/20/2021,,,10610,652242,75776,18897,757525,6213,94673,12071,30983,44129,19561
7/21/2021,,,10692,662800,72115,17822,763429,5904,89937,10558,27122,38320,24495
7/22/2021,,,10865,673424,68974,17224,770487,7058,86198,10624,22418,32730,31050
7/23/2021,,,11021,687864,62789,16846,778520,8033,79635,14440,18931,24456,36248
7/24/2021,,,11181,702477,56946,16276,786880,8360,73222,14613,16072,13489,43661
7/25/2021,,,11333,716838,48934,15168,792273,5393,64102,14361,18044,32952,13106
7/26/2021,,,11436,731504,38271,13724,794935,2662,51995,14666,10463,28033,13499
7/27/2021,,,11606,746087,26961,13848,798502,3567,40809,14583,8911,21290,10608
7/28/2021,,,11688,757122,22332,12885,804027,5525,35217,11035,5114,14320,15783
7/29/2021,,,11844,768562,16676,10790,807872,3845,27466,11440,1630,7060,18776
7/30/2021,,,11952,779720,11264,8390,811326,3454,19654,11158,2798,11212,5644
7/31/2021,,,12135,784668,10134,7716,814653,3327,17850,4948,1784,7157,8909
8/1/2021,,,12209,789261,9399,6485,817354,2701,15884,4593,115,4275,11494
8/2/2021,,,12363,791422,9202,5777,818764,1410,14979,2161,27,2468,12484
8/3/2021,,,12433,793928,8705,5299,820365,1601,14004,2506,27,1389,12588
8/4/2021,,,12514,796381,9535,4916,823346,2981,14451,2453,27,308,14116
8/5/2021,,,12629,799151,9458,4419,825657,2311,13877,2770,0,0,13877
8/6/2021,,,12682,802373,8813,3974,827842,2185,12787,3222,0,0,12787
8/7/2021,,,12750,806924,6957,3219,829850,2008,10176,4551,0,0,10176
8/8/2021,,,12770,808087,7567,3075,831499,1649,10642,1163,0,0,10642
8/9/2021,,,12783,809087,7430,2926,832226,727,10356,1000,0,0,10356
8/10/2021,,,12824,810308,7495,3024,833651,1425,10519,1221,0,0,10519
8/11/2021,,,12866,811642,7873,3228,835609,1958,11101,1334,0,0,11101
8/12/2021,,,12908,813898,7008,2873,836687,1078,9881,2256,0,0,9881
8/13/2021,,,12976,815468,6724,2729,837897,1210,9453,1570,0,0,9453
8/14/2021,,,13005,816687,6748,2820,839260,1363,9568,1219,0,0,9568
8/15/2021,,,13022,817764,6755,2901,840442,1182,9656,1077,0,0,9656
8/16/2021,,,13050,818700,6290,2915,840955,513,9205,936,0,0,9205
8/17/2021,,,13074,819620,5955,2961,841610,655,8916,920,0,0,8916
8/18/2021,,,13087,820517,6006,3029,842639,1029,9035,897,0,0,9035
8/19/2021,,,13121,821451,5794,3004,843370,731,8798,934,0,0,8798
8/20/2021,,,13132,822399,5721,3087,844339,969,8808,948,0,0,8808
8/21/2021,,,13152,823314,5565,3199,845230,891,8764,915,0,0,8764
8/22/2021,,,13173,824227,5584,2947,845931,701,8531,913,0,0,8531
8/23/2021,,,13193,824958,5477,2788,846416,485,8265,731,0,0,8265
8/24/2021,,,13203,825573,5277,2847,846900,484,8124,615,0,0,8124
8/25/2021,,,13214,826302,5442,2731,847689,789,8173,729,0,0,8173
8/26/2021,,,13216,827333,5110,2604,848263,574,7714,1031,0,0,7714
8/27/2021,,,13232,827674,5491,2504,848901,638,7995,341,0,0,7995
8/28/2021,,,13242,828125,5607,2395,849369,468,8002,451,0,0,8002
8/29/2021,,,13252,828838,5497,2256,849843,474,7753,713,0,0,7753
8/30/2021,,,13261,829668,5097,2158,850184,341,7255,830,0,0,7255
8/31/2021,,,13290,830197,4980,2116,850583,399,7096,529,0,0,7096
9/1/2021,,,13302,831293,4489,2172,851256,673,6661,1096,0,0,6661
9/2/2021,,,13312,832130,4201,2043,851686,430,6244,837,0,0,6244
9/3/2021,,,13322,832952,3841,1914,852029,343,5755,822,0,0,5755
9/4/2021,,,13332,833437,3807,1813,852389,360,5620,485,0,0,5620
9/5/2021,,,13342,833765,3820,1765,852692,303,5585,328,0,0,5585
9/6/2021,,,13359,834489,3417,1644,852909,217,5061,724,0,0,5061
9/7/2021,,,13372,835030,3172,1597,853171,262,4769,541,0,0,4769
9/8/2021,,,13386,835700,2977,1536,853599,428,4513,670,0,0,4513
9/9/2021,,,13399,836187,2843,1478,853907,308,4321,487,0,0,4321
9/10/2021,,,13411,836644,2659,1454,854168,261,4113,457,0,0,4113
9/11/2021,,,13431,837033,2554,1418,854436,268,3972,389,0,1,3971
9/12/2021,,,13437,837364,2539,1402,854742,306,3941,331,0,1,3940
9/13/2021,,,13443,837805,2454,1227,854929,187,3681,441,0,0,3681
9/14/2021,,,13445,838306,2268,1100,855119,190,3368,501,0,0,3368
9/15/2021,,,13455,838680,2223,1066,855424,305,3289,374,0,0,3289
9/16/2021,,,13464,839022,2092,1022,855600,176,3114,342,0,0,3114
9/17/2021,,,13469,839379,1958,1000,855806,206,2958,357,0,0,2958
9/18/2021,,,13475,839623,1934,974,856006,200,2908,244,0,0,2908
9/19/2021,,,13479,839803,1916,963,856161,155,2879,180,653,2226,0
9/20/2021,,,13482,840212,1694,864,856252,91,2558,409,0,0,2558
9/21/2021,,,13486,840525,1552,795,856358,106,2347,313,0,0,2347
9/22/2021,,,13490,840812,1509,774,856585,227,2283,287,373,1530,380
9/23/2021,,,13493,841065,1505,687,856750,165,2192,253,367,1663,162
9/24/2021,,,13497,841393,1409,632,856931,181,2041,328,402,1639,0
9/25/2021,,,13500,841592,1381,591,857064,133,1972,199,400,1441,131
9/26/2021,,,13503,841719,1403,607,857232,168,2010,127,397,1314,299
9/27/2021,,,13507,841980,1296,552,857335,103,1848,261,327,1137,384
9/28/2021,,,13512,842141,1246,540,857439,104,1786,161,292,996,498
9/29/2021,,,13516,842336,1230,534,857616,177,1764,195,245,844,675
9/30/2021,,,13519,842541,1195,510,857765,149,1705,205,201,696,808
10/1/2021,,,13524,842715,1173,504,857916,151,1677,174,377,1151,149
10/2/2021,,,13529,842842,1217,483,858071,155,1700,127,375,1033,292
10/3/2021,,,13534,842929,1235,500,858198,127,1735,87,365,950,420
10/4/2021,,,13534,843091,1261,461,858347,149,1722,162,820,323,579
10/5/2021,,,13538,843239,1198,444,858419,72,1642,148,282,711,649
10/6/2021,,,13540,843414,1217,451,858622,203,1668,175,225,602,841
10/7/2021,,,13541,843529,1253,448,858771,149,1701,115,181,530,990
10/8/2021,,,13541,843738,1206,436,858921,150,1642,209,97,405,1140
10/9/2021,,,13543,843822,1229,427,859021,100,1656,84,94,326,1236
10/10/2021,,,13547,843891,1285,438,859161,140,1723,69,94,264,1365
10/11/2021,,,13549,844189,1078,386,859202,41,1464,298,0,52,1412
10/12/2021,,,13550,844538,947,310,859345,143,1257,349,0,0,1257
10/13/2021,,,13550,844742,972,359,859623,278,1331,204,0,0,1331
10/14/2021,,,13550,844839,978,369,859736,113,1347,97,0,0,1347
10/15/2021,,,13550,844901,1030,379,859860,124,1409,62,0,0,1409
10/16/2021,,,13551,845121,992,350,860014,154,1342,220,0,0,1342
10/17/2021,,,13551,845248,998,348,860145,131,1346,127,0,0,1346
10/18/2021,,,13552,845386,984,330,860252,107,1314,138,0,0,1314
10/19/2021,,,13552,845508,967,331,860358,106,1298,122,0,0,1298
10/20/2021,,,13552,845650,947,312,860461,103,1259,142,0,0,1259
10/21/2021,,,13553,845763,934,300,860550,89,1234,113,0,0,1234
10/22/2021,,,13553,845884,895,301,860633,83,1196,121,0,0,1196
10/23/2021,,,13555,846056,846,292,860749,116,1138,172,0,0,1138
10/24/2021,,,13556,846185,852,287,860880,131,1139,129,0,0,1139
10/25/2021,,,13557,846352,774,279,860962,82,1053,167,0,0,1053
10/26/2021,,,13558,846525,660,256,860999,37,916,173,0,0,916
10/27/2021,,,13559,846667,618,260,861104,105,878,142,0,0,878
10/28/2021,,,13560,846749,670,256,861235,131,926,82,0,0,926
10/29/2021,,,13560,846799,713,259,861331,96,972,50,0,0,972
10/30/2021,,,13561,846942,660,264,861427,96,924,143,0,0,924
10/31/2021,,,13562,847021,686,271,861540,113,957,79,0,0,957
11/1/2021,,,13562,847066,722,273,861623,83,995,45,0,0,995
11/2/2021,,,13562,847201,671,266,861700,77,937,135,0,0,937
11/3/2021,,,13563,847353,658,258,861832,132,916,152,0,0,916
11/4/2021,,,13564,847403,718,258,861943,111,976,50,0,0,976
11/5/2021,,,13565,847438,802,256,862061,118,1058,35,0,0,1058
11/6/2021,,,13566,847685,648,231,862130,69,879,247,0,0,879
11/7/2021,,,13566,847808,653,220,862247,117,873,123,0,0,873
11/8/2021,,,13566,847885,627,198,862276,29,825,77,0,0,825
11/9/2021,,,13566,848034,577,193,862370,94,770,149,0,0,770
11/10/2021,,,13566,848093,608,198,862465,95,806,59,0,0,806
11/11/2021,,,13567,848137,660,208,862572,107,868,44,0,0,868
11/12/2021,,,13567,848311,578,187,862643,71,765,174,0,0,765
11/13/2021,,,13567,848419,534,177,862697,54,711,108,0,0,711
11/14/2021,,,13568,848527,514,180,862789,92,694,108,0,0,694
11/15/2021,,,13569,848604,477,175,862825,36,652,77,0,0,652
11/16/2021,,,13569,848710,447,178,862904,79,625,106,0,0,625
11/17/2021,,,13570,848871,397,196,863034,130,593,161,0,0,593
11/18/2021,,,13571,849007,344,212,863134,100,556,136,0,0,556
11/19/2021,,,13573,849111,348,199,863231,97,547,104,0,0,547
11/20/2021,,,13574,849265,297,209,863345,114,506,154,0,0,506
11/21/2021,,,13574,849386,296,200,863456,111,496,121,9,3,484
11/22/2021,,,13574,849448,278,182,863482,26,460,62,9,3,448
11/23/2021,,,13574,849491,303,183,863551,69,486,43,9,3,474
11/24/2021,,,13575,849596,294,168,863633,82,462,105,0,0,462
11/25/2021,,,13576,849638,274,199,863687,54,473,42,19,23,431
11/26/2021,,,13576,849693,292,196,863757,70,488,55,22,19,447
11/27/2021,,,13576,849779,252,204,863811,54,456,86,19,22,415
11/28/2021,,,13576,849831,272,183,863862,51,455,52,18,16,421
11/29/2021,,,13576,849902,255,170,863903,41,425,71,16,11,398
11/30/2021,,,13576,849929,264,178,863947,44,442,27,16,9,417
12/1/2021,,,13576,849979,282,180,864017,70,462,50,0,1,461
12/2/2021,,,13576,850046,248,175,864045,28,423,67,0,0,423
12/3/2021,,,13577,850114,229,167,864087,42,396,68,0,0,396
12/4/2021,,,13578,850175,209,173,864135,48,382,61,10,5,367
12/5/2021,,,13579,850228,210,161,864178,43,371,53,8,11,352
12/6/2021,,,13581,850281,181,149,864192,14,330,53,9,21,300
12/7/2021,,,13582,850319,171,151,864223,31,322,38,16,26,280
12/8/2021,,,13583,850364,170,147,864264,41,317,45,32,17,268
12/9/2021,,,13583,850439,153,125,864300,36,278,75,21,38,219
12/10/2021,,,13583,850475,144,124,864326,26,268,36,42,31,195
12/11/2021,,,13583,850517,132,126,864358,32,258,42,33,29,196
12/12/2021,,,13583,850557,128,122,864390,32,250,40,27,21,202
12/13/2021,,,13583,850595,111,117,864406,16,228,38,30,28,170
12/14/2021,,,13583,850621,103,119,864426,20,222,26,27,75,120
12/15/2021,,,13583,850649,104,113,864449,23,217,28,25,79,113
12/16/2021,,,13583,850685,108,113,864489,40,221,36,26,70,125
12/17/2021,,,13583,850719,118,107,864527,38,225,34,28,66,131
12/18/2021,,,13583,850751,136,131,864601,74,267,32,62,24,181
12/19/2021,,,13583,850797,140,124,864644,43,264,46,39,21,204
12/20/2021,,,13584,850817,150,131,864682,38,281,20,19,38,224
12/21/2021,,,13584,850837,160,156,864737,55,316,20,33,50,233
12/22/2021,,,13584,850858,176,162,864780,43,338,21,68,36,234
12/23/2021,,,13584,850910,157,145,864796,16,302,52,50,32,220
12/24/2021,,,13584,850939,168,174,864865,69,342,29,78,35,229
12/25/2021,,,13584,850984,170,207,864945,80,377,45,28,71,278
12/26/2021,,,13584,851008,176,224,864992,47,400,24,28,63,309
12/27/2021,,,13584,851096,171,183,865034,42,354,88,22,24,308
12/28/2021,,,13585,851138,236,171,865130,96,407,42,21,22,364
12/29/2021,,,13587,851167,238,165,865157,27,403,29,35,35,333
12/30/2021,,,13587,851201,251,171,865210,53,422,34,34,36,352
12/31/2021,,,13588,851222,295,192,865297,87,487,21,36,35,416
1/1/2022,,,13588,851280,342,205,865415,118,547,58,33,33,481
1/2/2022,,,13588,851386,428,116,865518,103,544,106,32,22,490
1/3/2022,,,13588,851408,554,140,865690,172,694,22,33,39,622
1/4/2022,,,13588,851449,627,141,865805,115,768,41,55,42,671
1/5/2022,,,13589,851520,787,168,866064,259,955,71,50,63,842
1/6/2022,,,13589,851572,956,214,866331,267,1170,52,59,41,1070
1/7/2022,,,13589,851648,1173,221,866631,300,1394,76,62,35,1297
1/8/2022,,,13589,851727,1336,257,866909,278,1593,79,88,64,1441
1/9/2022,,,13589,851839,1575,299,867302,393,1874,112,84,68,1722
1/10/2022,,,13589,851944,1807,322,867662,360,2129,105,85,81,1963
1/11/2022,,,13590,852126,2081,402,868199,537,2483,182,75,78,2330
1/12/2022,,,13590,852269,2246,506,868611,412,2752,143,78,96,2578
1/13/2022,,,13590,852563,2353,583,869089,478,2936,294,78,104,2754
1/14/2022,,,13591,852727,2656,669,869643,554,3325,164,92,108,3125
1/15/2022,,,13591,853003,3011,758,870363,720,3769,276,117,86,3566
1/16/2022,,,13591,853522,3045,771,870929,566,3816,519,73,131,3612
1/17/2022,,,13591,853987,3035,809,871422,493,3844,465,58,121,3665
1/18/2022,,,13591,854204,3316,981,872092,670,4297,217,131,74,4092
1/19/2022,,,13591,854589,3799,1125,873104,1012,4924,385,149,84,4691
1/20/2022,,,13591,855026,4420,1222,874259,1155,5642,437,168,86,5388
1/21/2022,,,13591,855676,5031,1445,875743,1484,6476,650,195,96,6185
1/22/2022,,,13591,856137,6130,1710,877568,1825,7840,461,86,216,7538
1/23/2022,,,13597,856653,7046,2011,879307,1739,9057,516,243,79,8735
1/24/2022,,,13597,857215,8246,2242,881300,1993,10488,562,272,101,10115
1/25/2022,,,13606,857688,9475,2721,883490,2190,12196,473,105,281,11810
1/26/2022,,,13612,859305,10850,3232,886999,3509,14082,1617,244,81,13757
1/27/2022,,,13615,861203,12341,3989,891148,4149,16330,1898,56,269,16005
1/28/2022,,,13617,862670,14710,4709,895706,4558,19419,1467,57,237,19125
1/29/2022,,,13627,864447,17852,5545,901471,5765,23397,1777,47,206,23144
1/30/2022,,,13639,866477,21629,6348,908093,6622,27977,2030,49,174,27754
1/31/2022,,,13666,867519,25361,6809,913355,5262,32170,1042,44,153,31973
2/1/2022,,,13678,869184,28863,8018,919743,6388,36881,1665,131,44,36706
2/2/2022,,,13689,873212,33384,8590,928875,9132,41974,4028,98,27,41849
2/3/2022,,,13713,877579,38248,9652,939192,10317,47900,4367,22,173,47705
2/4/2022,,,13738,883377,43722,11534,952371,13179,55256,5798,17,137,55102
2/5/2022,,,13767,891571,46609,13198,965145,12774,59807,8194,115,17,59675
2/6/2022,,,13794,899957,52594,14625,980970,15825,67219,8386,45,6,67168
2/7/2022,,,13832,905285,59023,15512,993652,12682,74535,5328,44,49,74442
2/8/2022,,,13872,910435,62941,17221,1004469,10817,80162,5150,29,24,80109
2/9/2022,,,13889,923652,63131,18150,1018822,14353,81281,13217,5,6,81270
2/10/2022,,,13911,929100,67456,19445,1029912,11090,86901,5448,10,4,86887
2/11/2022,,,13950,945079,61665,19925,1040619,10707,81590,15979,9,1,81580
2/12/2022,,,13989,960624,59225,19198,1053036,12417,78423,15545,12,2,78409
2/13/2022,,,14032,975674,54602,18900,1063208,10172,73502,15050,4,18,73480
2/14/2022,,,14085,975770,62755,20873,1073483,10275,83628,96,17,6,83605
2/15/2022,,,14135,984861,63221,20748,1082965,9482,83969,9091,24,36,83909
2/16/2022,,,14191,992213,67232,21717,1095353,12388,88949,7352,46,30,88873
2/17/2022,,,14255,1008870,60632,20132,1103889,8536,80764,16657,29,33,80702
2/18/2022,,,14301,1020564,68649,8564,1112078,8189,77213,11694,21,14,77178
2/19/2022,,,14326,1031739,67464,8002,1121531,9453,75466,11175,8,20,75438
2/20/2022,,,14358,1043718,63658,7933,1129667,8136,71591,11979,15,5,71571
2/21/2022,,,14382,1055584,57957,7102,1135025,5358,65059,11866,5,5,65049
2/22/2022,,,14415,1064272,54492,7054,1140233,5208,61546,8688,5,5,61536
2/23/2022,,,14466,1071054,55116,6892,1147528,7295,62008,6782,12,5,61991
2/24/2022,,,14513,1082827,50250,6793,1154383,6855,57043,11773,22,4,57017
2/25/2022,,,14555,1091226,46586,6540,1158907,4524,53126,8399,4,23,53099
2/26/2022,,,14585,1100117,42956,5924,1163582,4675,48880,8891,22,2,48856
2/27/2022,,,14609,1109056,38294,5580,1167539,3957,43874,8939,2,20,43852
2/28/2022,,,14664,1120433,34301,5441,1174839,7300,39742,11377,0,10,39732
3/1/2022,,,14690,1126008,32698,5077,1178473,3634,37775,5575,25,2,37748
3/2/2022,,,14710,1129828,33246,4885,1182669,4196,38131,3820,22,4,38105
3/3/2022,,,14730,1137499,30582,4527,1187338,4669,35109,7671,24,2,35083
3/4/2022,,,14754,1143134,28620,4557,1191065,3727,33177,5635,1,28,33148
3/5/2022,,,14779,1148415,26276,4654,1194124,3059,30930,5281,1,24,30905
3/6/2022,,,14798,1152865,25515,4615,1197793,3669,30130,4450,1,24,30105
3/7/2022,,,14828,1156926,23985,4747,1200486,2693,28732,4061,0,18,28714
3/8/2022,,,14852,1161139,23353,4711,1204055,3569,28064,4213,0,17,28047
3/9/2022,,,14863,1164852,23627,4585,1207927,3872,28212,3713,0,12,28200
3/10/2022,,,14881,1168549,23480,4563,1211473,3546,28043,3697,0,21,28022
3/11/2022,,,14896,1173761,21240,4124,1214021,2548,25364,5212,0,16,25348
3/12/2022,,,14921,1178124,19285,3796,1216126,2105,23081,4363,0,24,23057
3/13/2022,,,14955,1180576,18707,3762,1218000,1874,22469,2452,0,20,22449
3/14/2022,,,14988,1184667,16373,3279,1219307,1307,19652,4091,0,11,19641
3/15/2022,,,15019,1187307,15603,2949,1220878,1571,18552,2640,0,15,18537
3/16/2022,,,15031,1189556,15095,2902,1222584,1706,17997,2249,0,16,17981
3/17/2022,,,15043,1193225,13384,2515,1224167,1583,15899,3669,0,20,15879
3/18/2022,,,15061,1196098,12052,2472,1225683,1516,14524,2873,0,21,14503
3/19/2022,,,15073,1198669,11111,2315,1227168,1485,13426,2571,0,21,13405
3/20/2022,,,15087,1200920,10004,2324,1228335,1167,12328,2251,0,20,12308
3/21/2022,,,15093,1202740,9084,2280,1229197,862,11364,1820,0,17,11347
3/22/2022,,,15102,1204167,8773,2167,1230209,1012,10940,1427,2,19,10919
3/23/2022,,,15106,1205353,8903,2082,1231444,1235,10985,1186,2,25,10958
3/24/2022,,,15111,1207258,8098,2044,1232511,1067,10142,1905,7,42,10093
3/25/2022,,,15116,1208909,7445,1931,1233401,890,9376,1651,8,47,9321
3/26/2022,,,15121,1210332,6938,1806,1234197,796,8744,1423,17,46,8681
3/27/2022,,,15126,1211717,6186,1762,1234791,594,7948,1385,18,56,7874
3/28/2022,,,15138,1213009,5653,1564,1235364,573,7217,1292,16,73,7128
3/29/2022,,,15148,1213901,5744,1313,1236106,742,7057,892,14,61,6982
3/30/2022,,,15159,1214728,5907,1213,1237007,901,7120,827,10,96,7014
3/31/2022,,,15167,1216040,5437,1092,1237736,729,6529,1312,6,68,6455
4/1/2022,,,15175,1217108,5119,975,1238377,641,6094,1068,16,78,6000
4/2/2022,,,15183,1218121,4795,911,1239010,633,5706,1013,12,49,5645
4/3/2022,,,15190,1218930,4636,866,1239622,612,5502,809,7,41,5454
4/4/2022,,,15200,1219664,4436,810,1240110,488,5246,734,5,34,5207
4/5/2022,,,15205,1220235,4420,818,1240678,568,5238,571,4,54,5180
4/6/2022,,,15207,1220769,4714,741,1241431,753,5455,534,2,67,5386
4/7/2022,,,15212,1221596,4609,688,1242105,674,5297,827,12,73,5212
4/8/2022,,,15214,1222380,4456,647,1242697,592,5103,784,12,65,5026
4/9/2022,,,15217,1223059,4267,604,1243147,450,4871,679,8,48,4815
4/10/2022,,,15220,1223655,4039,603,1243517,370,4642,596,4,47,4591
4/11/2022,,,15224,1224308,3755,542,1243829,312,4297,653,2,93,4202
4/12/2022,,,15229,1224805,3607,543,1244184,355,4150,497,6,93,4051
4/13/2022,,,15232,1225348,3515,488,1244583,399,4003,543,16,109,3878
4/14/2022,,,15234,1226139,3127,455,1244955,372,3582,791,34,78,3470
4/15/2022,,,15238,1226739,2837,451,1245265,310,3288,600,27,59,3202
4/16/2022,,,15240,1227338,2469,411,1245458,193,2880,599,23,35,2822
4/17/2022,,,15244,1227793,2205,411,1245653,195,2616,455,17,25,2574
4/18/2022,,,15250,1228205,1997,371,1245823,170,2368,412,19,48,2301
4/19/2022,,,15252,1228519,1876,355,1246002,179,2231,314,20,46,2165
4/20/2022,,,15254,1228783,1866,330,1246233,231,2196,264,18,46,2132
4/21/2022,,,15258,1229206,1603,325,1246392,159,1928,423,18,44,1866
4/22/2022,,,15261,1229616,1417,313,1246607,215,1730,410,10,31,1689
4/23/2022,,,15264,1229971,1256,288,1246779,172,1544,355,10,21,1513
4/24/2022,,,15265,1230220,1149,280,1246914,135,1429,249,7,17,1405
4/25/2022,,,15266,1230368,1107,274,1247015,101,1381,148,9,29,1343
